HG00096	MALE
HG00097	FEMALE
HG00099	FEMALE
HG00100	FEMALE
HG00101	MALE
HG00102	FEMALE
HG00103	MALE
HG00105	MALE
HG00106	FEMALE
HG00107	MALE
HG00108	MALE
HG00109	MALE
HG00110	FEMALE
HG00111	FEMALE
HG00112	MALE
HG00113	MALE
HG00114	MALE
HG00115	MALE
HG00116	MALE
HG00117	MALE
HG00118	FEMALE
HG00119	MALE
HG00120	FEMALE
HG00121	FEMALE
HG00122	FEMALE
HG00123	FEMALE
HG00124	FEMALE
HG00125	FEMALE
HG00126	MALE
HG00127	FEMALE
HG00128	FEMALE
HG00129	MALE
HG00130	FEMALE
HG00131	MALE
HG00132	FEMALE
HG00133	FEMALE
HG00136	MALE
HG00137	FEMALE
HG00138	MALE
HG00139	MALE
HG00140	MALE
HG00141	MALE
HG00142	MALE
HG00143	MALE
HG00145	MALE
HG00146	FEMALE
HG00148	MALE
HG00149	MALE
HG00150	FEMALE
HG00151	MALE
HG00154	FEMALE
HG00155	MALE
HG00157	MALE
HG00158	FEMALE
HG00159	MALE
HG00160	MALE
HG00171	FEMALE
HG00173	FEMALE
HG00174	FEMALE
HG00176	FEMALE
HG00177	FEMALE
HG00178	FEMALE
HG00179	FEMALE
HG00180	FEMALE
HG00181	MALE
HG00182	MALE
HG00183	MALE
HG00185	MALE
HG00186	MALE
HG00187	MALE
HG00188	MALE
HG00189	MALE
HG00190	MALE
HG00231	FEMALE
HG00232	FEMALE
HG00233	FEMALE
HG00234	MALE
HG00235	FEMALE
HG00236	FEMALE
HG00237	FEMALE
HG00238	FEMALE
HG00239	FEMALE
HG00240	FEMALE
HG00242	MALE
HG00243	MALE
HG00244	MALE
HG00245	FEMALE
HG00246	MALE
HG00250	FEMALE
HG00251	MALE
HG00252	MALE
HG00253	FEMALE
HG00254	FEMALE
HG00255	FEMALE
HG00256	MALE
HG00257	FEMALE
HG00258	FEMALE
HG00259	FEMALE
HG00260	MALE
HG00261	FEMALE
HG00262	FEMALE
HG00263	FEMALE
HG00264	MALE
HG00265	MALE
HG00266	FEMALE
HG00267	MALE
HG00268	FEMALE
HG00269	FEMALE
HG00271	MALE
HG00272	FEMALE
HG00273	MALE
HG00274	FEMALE
HG00275	FEMALE
HG00276	FEMALE
HG00277	MALE
HG00278	MALE
HG00280	MALE
HG00281	FEMALE
HG00282	FEMALE
HG00284	MALE
HG00285	FEMALE
HG00288	FEMALE
HG00290	MALE
HG00304	FEMALE
HG00306	FEMALE
HG00308	MALE
HG00309	FEMALE
HG00310	MALE
HG00311	MALE
HG00313	FEMALE
HG00315	FEMALE
HG00318	FEMALE
HG00319	FEMALE
HG00320	FEMALE
HG00321	MALE
HG00323	FEMALE
HG00324	FEMALE
HG00325	MALE
HG00326	FEMALE
HG00327	FEMALE
HG00328	FEMALE
HG00329	MALE
HG00330	FEMALE
HG00331	FEMALE
HG00332	FEMALE
HG00334	FEMALE
HG00335	MALE
HG00336	MALE
HG00337	FEMALE
HG00338	MALE
HG00339	FEMALE
HG00341	MALE
HG00342	MALE
HG00343	FEMALE
HG00344	FEMALE
HG00345	MALE
HG00346	FEMALE
HG00349	FEMALE
HG00350	FEMALE
HG00351	MALE
HG00353	FEMALE
HG00355	FEMALE
HG00356	FEMALE
HG00357	FEMALE
HG00358	MALE
HG00360	MALE
HG00361	FEMALE
HG00362	FEMALE
HG00364	FEMALE
HG00365	FEMALE
HG00366	MALE
HG00367	FEMALE
HG00368	FEMALE
HG00369	MALE
HG00371	MALE
HG00372	MALE
HG00373	FEMALE
HG00375	MALE
HG00376	FEMALE
HG00378	FEMALE
HG00379	FEMALE
HG00380	FEMALE
HG00381	FEMALE
HG00382	MALE
HG00383	FEMALE
HG00384	FEMALE
HG00403	MALE
HG00404	FEMALE
HG00406	MALE
HG00407	FEMALE
HG00409	MALE
HG00410	FEMALE
HG00419	FEMALE
HG00421	MALE
HG00422	FEMALE
HG00428	FEMALE
HG00436	MALE
HG00437	FEMALE
HG00442	MALE
HG00443	FEMALE
HG00445	MALE
HG00446	FEMALE
HG00448	MALE
HG00449	FEMALE
HG00451	MALE
HG00452	FEMALE
HG00457	MALE
HG00458	FEMALE
HG00463	MALE
HG00464	FEMALE
HG00472	MALE
HG00473	FEMALE
HG00475	MALE
HG00476	FEMALE
HG00478	MALE
HG00479	FEMALE
HG00500	MALE
HG00501	FEMALE
HG00513	FEMALE
HG00524	MALE
HG00525	FEMALE
HG00530	MALE
HG00531	FEMALE
HG00533	MALE
HG00534	FEMALE
HG00536	MALE
HG00537	FEMALE
HG00542	MALE
HG00543	FEMALE
HG00556	MALE
HG00557	FEMALE
HG00559	MALE
HG00560	FEMALE
HG00565	MALE
HG00566	FEMALE
HG00580	MALE
HG00581	FEMALE
HG00583	MALE
HG00584	FEMALE
HG00589	MALE
HG00590	FEMALE
HG00592	MALE
HG00593	FEMALE
HG00595	MALE
HG00596	FEMALE
HG00598	MALE
HG00599	FEMALE
HG00607	MALE
HG00608	FEMALE
HG00610	MALE
HG00611	FEMALE
HG00613	MALE
HG00614	FEMALE
HG00619	MALE
HG00620	FEMALE
HG00622	MALE
HG00623	FEMALE
HG00625	MALE
HG00626	FEMALE
HG00628	MALE
HG00629	FEMALE
HG00631	MALE
HG00632	FEMALE
HG00634	MALE
HG00635	FEMALE
HG00650	MALE
HG00651	FEMALE
HG00653	MALE
HG00654	FEMALE
HG00656	MALE
HG00657	FEMALE
HG00662	MALE
HG00663	FEMALE
HG00671	MALE
HG00672	FEMALE
HG00674	MALE
HG00675	FEMALE
HG00683	MALE
HG00684	FEMALE
HG00689	MALE
HG00690	FEMALE
HG00692	MALE
HG00693	FEMALE
HG00698	MALE
HG00699	FEMALE
HG00701	MALE
HG00702	FEMALE
HG00704	MALE
HG00705	FEMALE
HG00707	MALE
HG00708	FEMALE
HG00717	FEMALE
HG00728	MALE
HG00729	FEMALE
HG00759	FEMALE
HG00766	FEMALE
HG00844	MALE
HG00851	FEMALE
HG00864	FEMALE
HG00867	FEMALE
HG00879	FEMALE
HG00881	MALE
HG00956	FEMALE
HG00978	FEMALE
HG00982	MALE
HG01028	MALE
HG01029	FEMALE
HG01031	MALE
HG01046	FEMALE
HG01112	MALE
HG01113	FEMALE
HG01119	FEMALE
HG01121	MALE
HG01122	FEMALE
HG01124	MALE
HG01125	FEMALE
HG01130	MALE
HG01131	FEMALE
HG01133	MALE
HG01134	FEMALE
HG01136	MALE
HG01137	FEMALE
HG01139	MALE
HG01140	FEMALE
HG01142	MALE
HG01148	MALE
HG01149	FEMALE
HG01250	MALE
HG01251	FEMALE
HG01253	MALE
HG01254	FEMALE
HG01256	MALE
HG01257	FEMALE
HG01259	MALE
HG01260	FEMALE
HG01269	FEMALE
HG01271	MALE
HG01272	FEMALE
HG01275	FEMALE
HG01277	MALE
HG01280	MALE
HG01281	FEMALE
HG01284	FEMALE
HG01334	MALE
HG01341	MALE
HG01342	FEMALE
HG01344	MALE
HG01345	FEMALE
HG01348	FEMALE
HG01350	MALE
HG01351	FEMALE
HG01353	MALE
HG01354	FEMALE
HG01356	MALE
HG01357	FEMALE
HG01359	MALE
HG01360	FEMALE
HG01362	MALE
HG01363	FEMALE
HG01365	MALE
HG01366	FEMALE
HG01369	FEMALE
HG01372	FEMALE
HG01374	MALE
HG01375	FEMALE
HG01377	MALE
HG01378	FEMALE
HG01383	MALE
HG01384	FEMALE
HG01389	MALE
HG01390	FEMALE
HG01431	MALE
HG01432	FEMALE
HG01435	FEMALE
HG01437	MALE
HG01438	FEMALE
HG01440	MALE
HG01441	FEMALE
HG01443	MALE
HG01444	FEMALE
HG01447	FEMALE
HG01455	MALE
HG01456	FEMALE
HG01459	FEMALE
HG01461	MALE
HG01462	FEMALE
HG01464	MALE
HG01465	FEMALE
HG01468	FEMALE
HG01474	FEMALE
HG01479	MALE
HG01485	MALE
HG01486	FEMALE
HG01488	MALE
HG01489	FEMALE
HG01491	MALE
HG01492	FEMALE
HG01494	MALE
HG01495	FEMALE
HG01497	MALE
HG01498	FEMALE
HG01550	MALE
HG01551	FEMALE
HG01556	MALE
HG01789	MALE
HG01790	FEMALE
HG01791	MALE
HG01794	FEMALE
HG01795	FEMALE
HG01796	FEMALE
HG01797	FEMALE
HG01798	FEMALE
HG01799	FEMALE
HG01800	FEMALE
HG01801	FEMALE
HG01802	FEMALE
HG01804	FEMALE
HG01805	FEMALE
HG01806	FEMALE
HG01807	FEMALE
HG01808	FEMALE
HG01809	FEMALE
HG01810	MALE
HG01811	MALE
HG01812	FEMALE
HG01813	FEMALE
HG01815	FEMALE
HG01816	MALE
HG01817	FEMALE
HG01879	MALE
HG01880	FEMALE
HG01882	MALE
HG01883	FEMALE
HG01885	MALE
HG01886	FEMALE
HG01889	FEMALE
HG01890	MALE
HG01894	FEMALE
HG01896	FEMALE
HG01912	MALE
HG01914	MALE
HG01915	FEMALE
HG01956	FEMALE
HG01958	FEMALE
HG01985	FEMALE
HG01986	MALE
HG01988	MALE
HG01989	FEMALE
HG01990	MALE
HG02009	MALE
HG02010	FEMALE
HG02012	FEMALE
HG02013	MALE
HG02014	MALE
HG02051	MALE
HG02052	FEMALE
HG02053	MALE
HG02054	FEMALE
HG02095	FEMALE
HG02107	MALE
HG02108	FEMALE
HG02111	FEMALE
HG02143	MALE
HG02144	FEMALE
HG02151	FEMALE
HG02152	FEMALE
HG02153	FEMALE
HG02154	FEMALE
HG02155	FEMALE
HG02156	FEMALE
HG02164	FEMALE
HG02165	FEMALE
HG02166	FEMALE
HG02178	FEMALE
HG02179	FEMALE
HG02180	FEMALE
HG02181	FEMALE
HG02182	FEMALE
HG02184	FEMALE
HG02185	FEMALE
HG02186	FEMALE
HG02187	FEMALE
HG02188	FEMALE
HG02190	FEMALE
HG02215	FEMALE
HG02250	MALE
HG02255	MALE
HG02256	FEMALE
HG02281	MALE
HG02282	FEMALE
HG02283	MALE
HG02284	MALE
HG02307	MALE
HG02308	FEMALE
HG02309	FEMALE
HG02314	MALE
HG02315	FEMALE
HG02317	MALE
HG02318	FEMALE
HG02322	FEMALE
HG02323	MALE
HG02325	FEMALE
HG02330	MALE
HG02332	MALE
HG02334	MALE
HG02337	FEMALE
HG02339	FEMALE
HG02343	MALE
HG02351	MALE
HG02353	MALE
HG02355	MALE
HG02356	MALE
HG02360	MALE
HG02363	MALE
HG02364	MALE
HG02367	MALE
HG02371	MALE
HG02372	MALE
HG02373	MALE
HG02374	MALE
HG02375	MALE
HG02377	MALE
HG02379	MALE
HG02380	MALE
HG02381	MALE
HG02382	MALE
HG02383	MALE
HG02384	MALE
HG02385	MALE
HG02386	MALE
HG02387	MALE
HG02388	MALE
HG02389	MALE
HG02390	MALE
HG02391	MALE
HG02392	MALE
HG02394	MALE
HG02395	MALE
HG02396	MALE
HG02397	MALE
HG02398	MALE
HG02399	MALE
HG02401	MALE
HG02402	MALE
HG02406	MALE
HG02407	MALE
HG02408	MALE
HG02409	MALE
HG02410	MALE
HG02419	FEMALE
HG02420	MALE
HG02427	FEMALE
HG02429	MALE
HG02433	MALE
HG02439	MALE
HG02442	MALE
HG02445	MALE
HG02449	MALE
HG02450	FEMALE
HG02455	MALE
HG02461	MALE
HG02462	FEMALE
HG02464	MALE
HG02465	FEMALE
HG02470	MALE
HG02471	FEMALE
HG02476	FEMALE
HG02477	FEMALE
HG02479	FEMALE
HG02481	MALE
HG02484	MALE
HG02485	FEMALE
HG02489	MALE
HG02496	MALE
HG02497	FEMALE
HG02501	MALE
HG02502	FEMALE
HG02505	FEMALE
HG02508	FEMALE
HG02511	FEMALE
HG02536	MALE
HG02537	FEMALE
HG02541	MALE
HG02545	MALE
HG02546	FEMALE
HG02549	FEMALE
HG02554	MALE
HG02555	FEMALE
HG02557	MALE
HG02558	FEMALE
HG02561	MALE
HG02562	FEMALE
HG02568	FEMALE
HG02570	MALE
HG02571	FEMALE
HG02573	MALE
HG02574	FEMALE
HG02577	FEMALE
HG02580	FEMALE
HG02582	MALE
HG02583	FEMALE
HG02585	MALE
HG02586	FEMALE
HG02588	MALE
HG02589	FEMALE
HG02594	MALE
HG02595	FEMALE
HG02610	MALE
HG02611	FEMALE
HG02613	MALE
HG02614	FEMALE
HG02620	MALE
HG02621	FEMALE
HG02623	MALE
HG02624	FEMALE
HG02628	MALE
HG02629	FEMALE
HG02634	MALE
HG02635	FEMALE
HG02642	MALE
HG02643	FEMALE
HG02645	MALE
HG02646	FEMALE
HG02666	MALE
HG02667	FEMALE
HG02675	MALE
HG02676	FEMALE
HG02678	MALE
HG02679	FEMALE
HG02702	MALE
HG02703	FEMALE
HG02715	MALE
HG02716	FEMALE
HG02721	MALE
HG02722	FEMALE
HG02756	MALE
HG02757	FEMALE
HG02759	MALE
HG02760	FEMALE
HG02763	FEMALE
HG02768	MALE
HG02769	FEMALE
HG02771	MALE
HG02772	FEMALE
HG02798	MALE
HG02799	FEMALE
HG02804	MALE
HG02805	FEMALE
HG02807	MALE
HG02808	FEMALE
HG02810	MALE
HG02811	FEMALE
HG02813	MALE
HG02814	FEMALE
HG02816	MALE
HG02817	FEMALE
HG02819	MALE
HG02820	FEMALE
HG02836	MALE
HG02837	FEMALE
HG02839	MALE
HG02840	FEMALE
HG02851	MALE
HG02852	FEMALE
HG02854	MALE
HG02855	FEMALE
HG02860	MALE
HG02861	FEMALE
HG02870	FEMALE
HG02878	MALE
HG02879	FEMALE
HG02881	MALE
HG02882	FEMALE
HG02884	MALE
HG02885	FEMALE
HG02887	MALE
HG02888	FEMALE
HG02890	MALE
HG02891	FEMALE
HG02895	MALE
HG02896	FEMALE
HG02922	FEMALE
HG02923	MALE
HG02938	MALE
HG02941	MALE
HG02943	FEMALE
HG02944	MALE
HG02946	FEMALE
HG02947	MALE
HG02952	FEMALE
HG02953	MALE
HG02968	MALE
HG02970	FEMALE
HG02971	MALE
HG02973	MALE
HG02974	FEMALE
HG02976	FEMALE
HG02977	MALE
HG02979	FEMALE
HG02981	MALE
HG02982	MALE
HG02983	FEMALE
HG03006	MALE
HG03007	FEMALE
HG03009	MALE
HG03012	MALE
HG03024	MALE
HG03025	FEMALE
HG03027	MALE
HG03028	FEMALE
HG03039	MALE
HG03040	FEMALE
HG03045	MALE
HG03046	FEMALE
HG03048	MALE
HG03049	FEMALE
HG03099	FEMALE
HG03100	MALE
HG03103	MALE
HG03105	FEMALE
HG03108	FEMALE
HG03109	MALE
HG03111	FEMALE
HG03112	MALE
